"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00462920",1970-01-01,1,1,30,26
2,"USC00462920",1970-01-02,0,0,31,25
3,"USC00462920",1970-01-03,2,2,29,15
4,"USC00462920",1970-01-04,0.5,3,25,13
5,"USC00462920",1970-01-05,0,2,40,19
6,"USC00462920",1970-01-06,3,5,35,20
7,"USC00462920",1970-01-07,1,6,20,0
8,"USC00462920",1970-01-08,0,5,3,-5
9,"USC00462920",1970-01-09,0.3,4,6,-4
10,"USC00462920",1970-01-10,0.3,4,13,1
11,"USC00462920",1970-01-11,4.5,9,25,0
12,"USC00462920",1970-01-12,0,8,28,22
13,"USC00462920",1970-01-13,0,7,27,19
14,"USC00462920",1970-01-14,0.5,6,30,18
15,"USC00462920",1970-01-15,0,5,40,9
16,"USC00462920",1970-01-16,0,4,46,18
17,"USC00462920",1970-01-17,0,2,47,35
18,"USC00462920",1970-01-18,0,2,40,18
19,"USC00462920",1970-01-19,0,2,21,11
20,"USC00462920",1970-01-20,1.5,3,20,0
21,"USC00462920",1970-01-21,0,3,10,-3
22,"USC00462920",1970-01-22,0,3,15,-2
23,"USC00462920",1970-01-23,0.5,4,25,4
24,"USC00462920",1970-01-24,0,3,35,10
25,"USC00462920",1970-01-25,0,0,50,35
26,"USC00462920",1970-01-26,2,2,50,31
27,"USC00462920",1970-01-27,0,1,36,30
28,"USC00462920",1970-01-28,0,0,62,28
29,"USC00462920",1970-01-29,0,0,60,35
30,"USC00462920",1970-01-30,0,0,35,23
31,"USC00462920",1970-01-31,0,0,46,23
32,"USC00462920",1970-02-01,0,0,52,34
33,"USC00462920",1970-02-02,0,0,52,39
34,"USC00462920",1970-02-03,3,3,39,2
35,"USC00462920",1970-02-04,0,2,22,-6
36,"USC00462920",1970-02-05,0,2,35,21
37,"USC00462920",1970-02-06,0,0,40,27
38,"USC00462920",1970-02-07,0,0,46,18
39,"USC00462920",1970-02-08,0,0,43,36
40,"USC00462920",1970-02-09,0,0,44,34
