"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00369367",1970-01-01,0,0,35,27
2,"USC00369367",1970-01-02,0,0,31,26
3,"USC00369367",1970-01-03,1.8,2,32,25
4,"USC00369367",1970-01-04,0.5,2,29,10
5,"USC00369367",1970-01-05,0,1,25,9
6,"USC00369367",1970-01-06,0,0,40,9
7,"USC00369367",1970-01-07,3.7,4,30,16
8,"USC00369367",1970-01-08,0.5,4,21,-3
9,"USC00369367",1970-01-09,0.2,4,3,-4
10,"USC00369367",1970-01-10,0.3,4,7,-2
11,"USC00369367",1970-01-11,0,4,17,-6
12,"USC00369367",1970-01-12,3.5,7,27,1
13,"USC00369367",1970-01-13,0,6,29,20
14,"USC00369367",1970-01-14,0,5,28,11
15,"USC00369367",1970-01-15,0,5,30,2
16,"USC00369367",1970-01-16,0,4,38,1
17,"USC00369367",1970-01-17,0,3,51,6
18,"USC00369367",1970-01-18,0,2,48,33
19,"USC00369367",1970-01-19,0.3,2,33,7
20,"USC00369367",1970-01-20,0.7,2,23,-1
21,"USC00369367",1970-01-21,1,3,20,-1
22,"USC00369367",1970-01-22,0,3,13,-8
23,"USC00369367",1970-01-23,0,2,20,-8
24,"USC00369367",1970-01-24,0.5,3,26,-6
25,"USC00369367",1970-01-25,0.3,2,43,-5
26,"USC00369367",1970-01-26,0,0,53,39
27,"USC00369367",1970-01-27,0,0,40,32
28,"USC00369367",1970-01-28,0.3,0,36,25
29,"USC00369367",1970-01-29,0,0,61,27
30,"USC00369367",1970-01-30,0,0,55,26
31,"USC00369367",1970-01-31,0,0,30,22
32,"USC00369367",1970-02-01,0,0,45,25
33,"USC00369367",1970-02-02,0,0,53,35
34,"USC00369367",1970-02-03,0.5,1,51,22
35,"USC00369367",1970-02-04,4,3,34,-4
36,"USC00369367",1970-02-05,0.8,4,28,-4
37,"USC00369367",1970-02-06,0.5,3,37,28
38,"USC00369367",1970-02-07,0,0,41,16
39,"USC00369367",1970-02-08,0,0,45,18
40,"USC00369367",1970-02-09,0,0,43,34
41,"USC00369367",1970-02-10,0,0,45,33
42,"USC00369367",1970-02-11,0,0,34,27
43,"USC00369367",1970-02-12,0.5,1,32,20
44,"USC00369367",1970-02-13,0.3,1,31,19
45,"USC00369367",1970-02-14,0,0,27,10
46,"USC00369367",1970-02-15,0.5,1,31,15
47,"USC00369367",1970-02-16,0,1,35,16
48,"USC00369367",1970-02-17,0,0,30,15
