"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00364432",1970-01-01,1,12,31,3
2,"USC00364432",1970-01-02,1,10,26,5
3,"USC00364432",1970-01-03,0.5,11,26,14
4,"USC00364432",1970-01-04,2,13,26,10
5,"USC00364432",1970-01-05,0,13,20,6
6,"USC00364432",1970-01-06,0,13,28,17
7,"USC00364432",1970-01-07,0.5,13,25,10
8,"USC00364432",1970-01-08,1.5,14,19,-6
9,"USC00364432",1970-01-09,0.5,14,0,-9
10,"USC00364432",1970-01-10,0.5,14,9,-8
11,"USC00364432",1970-01-11,0,14,19,8
12,"USC00364432",1970-01-12,1,15,22,8
13,"USC00364432",1970-01-13,0.5,15,23,16
14,"USC00364432",1970-01-14,0.5,15,22,-1
15,"USC00364432",1970-01-15,0,15,12,-15
16,"USC00364432",1970-01-16,0,14,25,-15
17,"USC00364432",1970-01-17,0,13,41,-3
18,"USC00364432",1970-01-18,0,12,37,22
19,"USC00364432",1970-01-19,0,11,23,-11
20,"USC00364432",1970-01-20,0.5,11,14,-1
21,"USC00364432",1970-01-21,2,13,13,-10
22,"USC00364432",1970-01-22,0,12,7,-17
23,"USC00364432",1970-01-23,0,11,13,-15
24,"USC00364432",1970-01-24,2,14,18,-17
25,"USC00364432",1970-01-25,0,13,26,-13
26,"USC00364432",1970-01-26,0,11,42,26
27,"USC00364432",1970-01-27,0.5,11,33,25
28,"USC00364432",1970-01-28,0.5,11,33,25
29,"USC00364432",1970-01-29,0,10,41,26
30,"USC00364432",1970-01-30,1,8,50,18
31,"USC00364432",1970-01-31,0,8,22,3
32,"USC00364432",1970-02-01,0,8,35,18
33,"USC00364432",1970-02-02,0,7,46,26
34,"USC00364432",1970-02-03,0.5,7,43,19
35,"USC00364432",1970-02-04,5,11,19,-17
36,"USC00364432",1970-02-05,2,12,21,-15
37,"USC00364432",1970-02-06,0,11,33,20
38,"USC00364432",1970-02-07,0,10,36,1
39,"USC00364432",1970-02-08,0,10,41,2
40,"USC00364432",1970-02-09,0,10,35,29
41,"USC00364432",1970-02-10,2.5,12,37,31
42,"USC00364432",1970-02-11,10,18,34,26
43,"USC00364432",1970-02-12,2,20,27,13
44,"USC00364432",1970-02-13,2.5,19,23,7
45,"USC00364432",1970-02-14,0,18,15,-18
46,"USC00364432",1970-02-15,0,18,22,-16
47,"USC00364432",1970-02-16,2.5,20,30,-2
48,"USC00364432",1970-02-17,0,18,29,-2
49,"USC00364432",1970-02-18,0,16,44,2
50,"USC00364432",1970-02-19,0,14,53,22
51,"USC00364432",1970-02-20,1,14,29,12
52,"USC00364432",1970-02-21,0,14,19,8
53,"USC00364432",1970-02-22,1,14,30,10
54,"USC00364432",1970-02-23,0,12,50,20
55,"USC00364432",1970-02-24,0,12,31,6
56,"USC00364432",1970-02-25,0,11,46,12
57,"USC00364432",1970-02-26,0,11,31,-14
58,"USC00364432",1970-02-27,0.5,9,22,-9
59,"USC00364432",1970-02-28,2,10,33,6
60,"USC00364432",1970-03-01,0,10,30,-3
61,"USC00364432",1970-03-02,0,10,43,8
62,"USC00364432",1970-03-03,0,9,42,29
63,"USC00364432",1970-03-04,0,9,38,31
64,"USC00364432",1970-03-05,0,8,38,32
65,"USC00364432",1970-03-06,0,8,34,26
66,"USC00364432",1970-03-07,0,7,41,21
67,"USC00364432",1970-03-08,0,7,40,10
68,"USC00364432",1970-03-09,0,7,25,6
69,"USC00364432",1970-03-10,0,7,30,2
70,"USC00364432",1970-03-11,0,7,30,5
71,"USC00364432",1970-03-12,0,7,35,12
72,"USC00364432",1970-03-13,3,9,34,15
73,"USC00364432",1970-03-14,0,7,37,10
74,"USC00364432",1970-03-15,3,9,29,4
75,"USC00364432",1970-03-16,1,10,27,-7
76,"USC00364432",1970-03-17,0,9,27,0
77,"USC00364432",1970-03-18,1,9,40,5
78,"USC00364432",1970-03-19,0,9,36,29
79,"USC00364432",1970-03-20,0,8,45,25
80,"USC00364432",1970-03-21,0,8,38,30
81,"USC00364432",1970-03-22,0,8,36,27
82,"USC00364432",1970-03-23,3,11,35,30
83,"USC00364432",1970-03-24,1.5,12,33,30
84,"USC00364432",1970-03-25,0,12,35,30
85,"USC00364432",1970-03-26,0,10,44,31
86,"USC00364432",1970-03-27,0,8,50,28
87,"USC00364432",1970-03-28,0,8,39,22
88,"USC00364432",1970-03-29,0,8,45,20
89,"USC00364432",1970-03-30,0,7,28,9
90,"USC00364432",1970-03-31,0,6,40,16
91,"USC00364432",1970-04-01,0,3,47,21
92,"USC00364432",1970-04-02,0,2,42,28
93,"USC00364432",1970-04-03,2,3,45,25
94,"USC00364432",1970-04-04,0,1,36,28
95,"USC00364432",1970-04-05,0.5,0,38,16
96,"USC00364432",1970-04-06,0,0,43,22
97,"USC00364432",1970-04-07,0,0,38,22
98,"USC00364432",1970-04-08,0,0,50,24
99,"USC00364432",1970-04-09,0,0,63,31
100,"USC00364432",1970-04-10,0,0,58,23
101,"USC00364432",1970-04-11,0,0,36,20
102,"USC00364432",1970-04-12,0,0,44,19
103,"USC00364432",1970-04-13,0,0,55,24
104,"USC00364432",1970-04-14,0,0,59,39
105,"USC00364432",1970-04-15,0,0,49,26
106,"USC00364432",1970-04-16,0,0,63,25
