"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00361705",1970-01-01,0,4,36,22
2,"USC00361705",1970-01-02,0,4,29,22
3,"USC00361705",1970-01-03,4,8,30,24
4,"USC00361705",1970-01-04,1,7,26,12
5,"USC00361705",1970-01-05,0,6,25,10
6,"USC00361705",1970-01-06,0,5,39,19
7,"USC00361705",1970-01-07,3,7,34,17
8,"USC00361705",1970-01-08,1,7,20,-5
9,"USC00361705",1970-01-09,0,7,1,-5
10,"USC00361705",1970-01-10,0.5,7,5,-5
11,"USC00361705",1970-01-11,0,7,15,-5
12,"USC00361705",1970-01-12,3.5,10,27,-2
13,"USC00361705",1970-01-13,0.5,9,27,20
14,"USC00361705",1970-01-14,0,9,27,19
15,"USC00361705",1970-01-15,0,8,28,-2
16,"USC00361705",1970-01-16,0,8,27,2
17,"USC00361705",1970-01-17,0,7,48,2
18,"USC00361705",1970-01-18,0,5,48,32
19,"USC00361705",1970-01-19,0,4,34,7
20,"USC00361705",1970-01-20,1,5,22,-5
21,"USC00361705",1970-01-21,2,7,18,-3
22,"USC00361705",1970-01-22,0,6,9,-4
23,"USC00361705",1970-01-23,0,6,14,-5
24,"USC00361705",1970-01-24,1.5,7,25,4
25,"USC00361705",1970-01-25,1,7,45,4
26,"USC00361705",1970-01-26,0,4,52,40
27,"USC00361705",1970-01-27,0.5,4,41,31
28,"USC00361705",1970-01-28,0.5,4,36,26
29,"USC00361705",1970-01-29,0,2,58,26
30,"USC00361705",1970-01-30,0.5,2,56,25
31,"USC00361705",1970-01-31,0.5,1,26,21
32,"USC00361705",1970-02-01,0,0,43,25
33,"USC00361705",1970-02-02,0,0,48,33
34,"USC00361705",1970-02-03,0,0,48,29
35,"USC00361705",1970-02-04,2,2,29,-2
36,"USC00361705",1970-02-05,0,1,30,-2
37,"USC00361705",1970-02-06,2,3,34,29
38,"USC00361705",1970-02-07,0,3,43,21
39,"USC00361705",1970-02-08,0.5,1,42,21
40,"USC00361705",1970-02-09,0,1,39,29
41,"USC00361705",1970-02-10,1,1,39,32
42,"USC00361705",1970-02-11,3,3,35,25
43,"USC00361705",1970-02-12,1,3,31,20
44,"USC00361705",1970-02-13,2.5,4,28,17
45,"USC00361705",1970-02-14,0.5,3,22,-2
46,"USC00361705",1970-02-15,1.5,4,27,4
47,"USC00361705",1970-02-16,0,3,36,17
48,"USC00361705",1970-02-17,0,3,32,14
49,"USC00361705",1970-02-18,0,2,47,17
50,"USC00361705",1970-02-19,0,0,60,24
51,"USC00361705",1970-02-20,2,2,35,18
52,"USC00361705",1970-02-21,0,1,24,14
53,"USC00361705",1970-02-22,0,1,34,14
54,"USC00361705",1970-02-23,0,0,55,28
55,"USC00361705",1970-02-24,0,0,41,21
56,"USC00361705",1970-02-25,0,0,51,32
57,"USC00361705",1970-02-26,0.5,0,41,2
58,"USC00361705",1970-02-27,0,0,32,3
59,"USC00361705",1970-02-28,0,0,41,26
60,"USC00361705",1970-03-01,0,0,38,17
61,"USC00361705",1970-03-02,0,0,54,20
62,"USC00361705",1970-03-03,0,0,49,35
63,"USC00361705",1970-03-04,0,0,49,35
64,"USC00361705",1970-03-05,0,0,45,36
65,"USC00361705",1970-03-06,0,0,42,26
66,"USC00361705",1970-03-07,0,0,42,22
67,"USC00361705",1970-03-08,0,0,50,23
68,"USC00361705",1970-03-09,0,0,43,27
69,"USC00361705",1970-03-10,0,0,33,20
70,"USC00361705",1970-03-11,0,0,35,22
71,"USC00361705",1970-03-12,3,2,44,23
72,"USC00361705",1970-03-13,5,4,34,27
73,"USC00361705",1970-03-14,1,4,31,22
74,"USC00361705",1970-03-15,1,5,27,13
75,"USC00361705",1970-03-16,0.5,4,29,14
76,"USC00361705",1970-03-17,0,3,28,8
77,"USC00361705",1970-03-18,6,7,46,10
78,"USC00361705",1970-03-19,1,5,38,32
79,"USC00361705",1970-03-20,0,3,48,33
80,"USC00361705",1970-03-21,0,2,40,32
81,"USC00361705",1970-03-22,0,1,39,32
82,"USC00361705",1970-03-23,0,1,37,32
83,"USC00361705",1970-03-24,0,0,37,32
84,"USC00361705",1970-03-25,0,0,40,28
85,"USC00361705",1970-03-26,0,0,53,30
86,"USC00361705",1970-03-27,0,0,59,31
87,"USC00361705",1970-03-28,0,0,45,24
88,"USC00361705",1970-03-29,1.5,1,57,26
89,"USC00361705",1970-03-30,12,9,30,8
90,"USC00361705",1970-03-31,0,4,44,10
91,"USC00361705",1970-04-01,0,2,48,30
92,"USC00361705",1970-04-02,0,0,52,28
93,"USC00361705",1970-04-03,0.5,0,62,31
94,"USC00361705",1970-04-04,0,0,49,31
95,"USC00361705",1970-04-05,0.5,1,40,23
96,"USC00361705",1970-04-06,1,1,48,20
97,"USC00361705",1970-04-07,0,0,50,30
98,"USC00361705",1970-04-08,0,0,43,28
99,"USC00361705",1970-04-09,0,0,66,29
100,"USC00361705",1970-04-10,0,0,65,41
101,"USC00361705",1970-04-11,0,0,53,27
102,"USC00361705",1970-04-12,0,0,51,26
103,"USC00361705",1970-04-13,0,0,64,34
104,"USC00361705",1970-04-14,0,0,60,37
105,"USC00361705",1970-04-15,0,0,43,38
106,"USC00361705",1970-04-16,0,0,65,30
107,"USC00361705",1970-04-17,0,0,73,31
108,"USC00361705",1970-04-18,0,0,75,39
109,"USC00361705",1970-04-19,0,0,62,40
110,"USC00361705",1970-04-20,0,0,47,40
111,"USC00361705",1970-04-21,0,0,68,44
112,"USC00361705",1970-04-22,0,0,65,40
113,"USC00361705",1970-04-23,0,0,70,46
114,"USC00361705",1970-04-24,0,0,69,52
115,"USC00361705",1970-04-25,0,0,70,40
116,"USC00361705",1970-04-26,0,0,70,45
117,"USC00361705",1970-04-27,0,0,72,39
118,"USC00361705",1970-04-28,0,0,80,45
119,"USC00361705",1970-04-29,0,0,77,48
120,"USC00361705",1970-04-30,0,0,87,52
121,"USC00361705",1970-05-01,0,0,87,51
122,"USC00361705",1970-05-02,0,0,88,54
123,"USC00361705",1970-05-03,0,0,66,45
124,"USC00361705",1970-05-04,0,0,58,38
125,"USC00361705",1970-05-05,0,0,66,29
126,"USC00361705",1970-05-06,0,0,73,35
127,"USC00361705",1970-05-07,0,0,50,24
128,"USC00361705",1970-05-08,0,0,62,26
129,"USC00361705",1970-05-09,0,0,78,43
130,"USC00361705",1970-05-10,0,0,83,48
131,"USC00361705",1970-05-11,0,0,83,46
132,"USC00361705",1970-05-12,0,0,82,55
133,"USC00361705",1970-05-13,0,0,78,57
134,"USC00361705",1970-05-14,0,0,78,55
135,"USC00361705",1970-05-15,0,0,72,57
136,"USC00361705",1970-05-16,0,0,78,55
137,"USC00361705",1970-05-17,0,0,75,48
138,"USC00361705",1970-05-18,0,0,57,38
139,"USC00361705",1970-05-19,0,0,67,36
140,"USC00361705",1970-05-20,0,0,79,45
141,"USC00361705",1970-05-21,0,0,82,52
142,"USC00361705",1970-05-22,0,0,86,49
143,"USC00361705",1970-05-23,0,0,85,52
144,"USC00361705",1970-05-24,0,0,85,46
145,"USC00361705",1970-05-25,0,0,82,52
146,"USC00361705",1970-05-26,0,0,85,50
147,"USC00361705",1970-05-27,0,0,74,46
148,"USC00361705",1970-05-28,0,0,74,41
149,"USC00361705",1970-05-29,0,0,78,42
150,"USC00361705",1970-05-30,0,0,74,48
151,"USC00361705",1970-05-31,0,0,75,49
152,"USC00361705",1970-06-01,0,0,84,48
153,"USC00361705",1970-06-02,0,0,84,43
154,"USC00361705",1970-06-03,0,0,87,55
155,"USC00361705",1970-06-04,0,0,81,64
156,"USC00361705",1970-06-05,0,0,81,58
157,"USC00361705",1970-06-06,0,0,82,51
158,"USC00361705",1970-06-07,0,0,70,45
159,"USC00361705",1970-06-08,0,0,70,42
160,"USC00361705",1970-06-09,0,0,85,48
161,"USC00361705",1970-06-10,0,0,85,58
162,"USC00361705",1970-06-11,0,0,86,54
163,"USC00361705",1970-06-12,0,0,88,55
164,"USC00361705",1970-06-13,0,0,83,59
165,"USC00361705",1970-06-14,0,0,78,46
166,"USC00361705",1970-06-15,0,0,68,56
167,"USC00361705",1970-06-16,0,0,71,57
168,"USC00361705",1970-06-17,0,0,80,62
169,"USC00361705",1970-06-18,0,0,86,57
170,"USC00361705",1970-06-19,0,0,85,60
171,"USC00361705",1970-06-20,0,0,76,49
172,"USC00361705",1970-06-21,0,0,73,48
173,"USC00361705",1970-06-22,0,0,78,50
174,"USC00361705",1970-06-23,0,0,71,52
175,"USC00361705",1970-06-24,0,0,80,52
176,"USC00361705",1970-06-25,0,0,81,52
177,"USC00361705",1970-06-26,0,0,82,57
178,"USC00361705",1970-06-27,0,0,83,57
179,"USC00361705",1970-06-28,0,0,66,47
180,"USC00361705",1970-06-29,0,0,73,35
181,"USC00361705",1970-06-30,0,0,78,51
182,"USC00361705",1970-07-01,0,0,85,61
183,"USC00361705",1970-07-02,0,0,90,59
184,"USC00361705",1970-07-03,0,0,88,65
185,"USC00361705",1970-07-04,0,0,87,62
186,"USC00361705",1970-07-05,0,0,86,49
187,"USC00361705",1970-07-06,0,0,67,52
188,"USC00361705",1970-07-07,0,0,76,47
189,"USC00361705",1970-07-08,0,0,82,46
190,"USC00361705",1970-07-09,0,0,83,49
191,"USC00361705",1970-07-10,0,0,72,58
192,"USC00361705",1970-07-11,0,0,76,57
193,"USC00361705",1970-07-12,0,0,76,58
194,"USC00361705",1970-07-13,0,0,79,58
195,"USC00361705",1970-07-14,0,0,83,61
196,"USC00361705",1970-07-15,0,0,87,64
197,"USC00361705",1970-07-16,0,0,88,65
198,"USC00361705",1970-07-17,0,0,73,54
