"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USW00004751",1970-01-01,0,16,23,7
2,"USW00004751",1970-01-02,0.8,15,23,10
3,"USW00004751",1970-01-03,0.7,16,27,14
4,"USW00004751",1970-01-04,0,17,17,10
5,"USW00004751",1970-01-05,0,16,26,17
6,"USW00004751",1970-01-06,0,13,25,17
7,"USW00004751",1970-01-07,0.5,13,17,6
8,"USW00004751",1970-01-08,0,13,6,-3
9,"USW00004751",1970-01-09,0,13,1,-10
10,"USW00004751",1970-01-10,0,13,16,1
11,"USW00004751",1970-01-11,0.4,13,19,7
12,"USW00004751",1970-01-12,1,15,22,15
13,"USW00004751",1970-01-13,0,14,19,10
14,"USW00004751",1970-01-14,0,13,14,5
15,"USW00004751",1970-01-15,0,13,26,-10
16,"USW00004751",1970-01-16,0,13,39,12
17,"USW00004751",1970-01-17,0,13,37,34
18,"USW00004751",1970-01-18,0.7,13,34,2
19,"USW00004751",1970-01-19,0.1,12,11,-4
20,"USW00004751",1970-01-20,0.7,12,11,-3
21,"USW00004751",1970-01-21,0,13,5,-4
22,"USW00004751",1970-01-22,0,12,10,-8
23,"USW00004751",1970-01-23,0.6,12,17,3
24,"USW00004751",1970-01-24,0,13,20,0
25,"USW00004751",1970-01-25,0,13,42,20
26,"USW00004751",1970-01-26,0,10,41,24
27,"USW00004751",1970-01-27,0.7,10,32,23
28,"USW00004751",1970-01-28,0,11,44,28
29,"USW00004751",1970-01-29,0.1,6,48,29
30,"USW00004751",1970-01-30,0.1,6,29,10
31,"USW00004751",1970-01-31,0,6,34,14
32,"USW00004751",1970-02-01,0,5,43,31
33,"USW00004751",1970-02-02,0,5,43,35
34,"USW00004751",1970-02-03,3.2,3,35,-1
35,"USW00004751",1970-02-04,1.7,6,10,-15
36,"USW00004751",1970-02-05,0.1,8,32,10
37,"USW00004751",1970-02-06,0,6,33,16
38,"USW00004751",1970-02-07,0,4,38,12
39,"USW00004751",1970-02-08,0,3,34,27
40,"USW00004751",1970-02-09,2,3,35,29
41,"USW00004751",1970-02-10,6.2,5,33,30
42,"USW00004751",1970-02-11,4.3,12,31,18
43,"USW00004751",1970-02-12,0.6,14,19,12
44,"USW00004751",1970-02-13,0.3,15,17,-10
45,"USW00004751",1970-02-14,0,14,18,-12
46,"USW00004751",1970-02-15,5,14,28,12
47,"USW00004751",1970-02-16,0,17,24,5
48,"USW00004751",1970-02-17,0,17,40,10
49,"USW00004751",1970-02-18,0,17,49,28
50,"USW00004751",1970-02-19,0.3,15,44,11
51,"USW00004751",1970-02-20,0.3,14,18,9
52,"USW00004751",1970-02-21,0,14,23,8
53,"USW00004751",1970-02-22,0,14,45,22
54,"USW00004751",1970-02-23,0,10,29,18
55,"USW00004751",1970-02-24,0,8,42,19
56,"USW00004751",1970-02-25,0,7,36,-4
57,"USW00004751",1970-02-26,0,4,19,-15
58,"USW00004751",1970-02-27,1.6,4,28,14
59,"USW00004751",1970-02-28,0.3,6,26,7
60,"USW00004751",1970-03-01,0,5,40,5
61,"USW00004751",1970-03-02,0,4,41,28
62,"USW00004751",1970-03-03,0,3,35,29
63,"USW00004751",1970-03-04,0,2,37,30
64,"USW00004751",1970-03-05,0,1,35,28
65,"USW00004751",1970-03-06,0,0,36,25
66,"USW00004751",1970-03-07,0,0,37,28
67,"USW00004751",1970-03-08,0,0,35,10
68,"USW00004751",1970-03-09,0,0,26,6
69,"USW00004751",1970-03-10,0,0,27,7
70,"USW00004751",1970-03-11,0,0,31,12
71,"USW00004751",1970-03-12,0.4,0,32,12
72,"USW00004751",1970-03-13,1.1,2,32,19
73,"USW00004751",1970-03-14,0.9,0,24,10
74,"USW00004751",1970-03-15,0,1,24,10
75,"USW00004751",1970-03-16,0.1,1,22,9
76,"USW00004751",1970-03-17,0,1,39,7
77,"USW00004751",1970-03-18,1.1,2,34,26
78,"USW00004751",1970-03-19,0,2,40,30
79,"USW00004751",1970-03-20,0,2,37,31
80,"USW00004751",1970-03-21,0.3,2,33,29
81,"USW00004751",1970-03-22,1.3,2,31,28
82,"USW00004751",1970-03-23,0.7,3,30,29
83,"USW00004751",1970-03-24,0.7,3,32,29
84,"USW00004751",1970-03-25,0.2,3,37,29
85,"USW00004751",1970-03-26,0,3,44,28
86,"USW00004751",1970-03-27,0,1,32,26
87,"USW00004751",1970-03-28,0.1,1,38,22
88,"USW00004751",1970-03-29,0.1,1,23,14
89,"USW00004751",1970-03-30,0,1,35,10
90,"USW00004751",1970-03-31,0,1,41,26
91,"USW00004751",1970-04-01,0,1,35,23
92,"USW00004751",1970-04-02,0.2,1,43,28
93,"USW00004751",1970-04-03,0,1,35,25
94,"USW00004751",1970-04-04,0.1,1,32,26
95,"USW00004751",1970-04-05,0,1,37,22
96,"USW00004751",1970-04-06,0.1,1,37,26
97,"USW00004751",1970-04-07,0,1,38,28
98,"USW00004751",1970-04-08,0,0,55,28
99,"USW00004751",1970-04-09,0,0,52,32
100,"USW00004751",1970-04-10,0,0,32,24
101,"USW00004751",1970-04-11,0,0,39,20
102,"USW00004751",1970-04-12,0,0,49,24
103,"USW00004751",1970-04-13,0,0,52,28
104,"USW00004751",1970-04-14,0,0,45,37
105,"USW00004751",1970-04-15,0,0,57,30
106,"USW00004751",1970-04-16,0,0,61,30
107,"USW00004751",1970-04-17,0,0,67,36
108,"USW00004751",1970-04-18,0,0,43,28
109,"USW00004751",1970-04-19,0,0,39,28
