"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00363028",1970-01-01,0,5,35,20
2,"USC00363028",1970-01-02,0,5,29,20
3,"USC00363028",1970-01-03,0.5,6,31,27
4,"USC00363028",1970-01-04,0.5,6,30,7
5,"USC00363028",1970-01-05,0,6,24,7
6,"USC00363028",1970-01-06,0,6,35,13
7,"USC00363028",1970-01-07,0.5,7,25,15
8,"USC00363028",1970-01-08,0,7,26,-2
9,"USC00363028",1970-01-09,1,8,9,-5
10,"USC00363028",1970-01-10,0.5,8,11,-6
11,"USC00363028",1970-01-11,1,9,22,9
12,"USC00363028",1970-01-12,0,8,24,10
13,"USC00363028",1970-01-13,0,7,25,19
14,"USC00363028",1970-01-14,0,7,25,5
15,"USC00363028",1970-01-15,0,6,17,-4
16,"USC00363028",1970-01-16,0,6,18,-6
17,"USC00363028",1970-01-17,0,5,46,6
18,"USC00363028",1970-01-18,0,4,39,24
19,"USC00363028",1970-01-19,0,4,26,5
20,"USC00363028",1970-01-20,0.5,5,18,0
21,"USC00363028",1970-01-21,0,5,11,-1
22,"USC00363028",1970-01-22,0,5,16,-2
23,"USC00363028",1970-01-23,0,6,23,-7
24,"USC00363028",1970-01-24,0,6,28,-7
25,"USC00363028",1970-01-25,0,4,46,25
26,"USC00363028",1970-01-26,0,3,35,28
27,"USC00363028",1970-01-27,0,3,35,28
28,"USC00363028",1970-01-28,0,3,35,25
29,"USC00363028",1970-01-29,0,1,57,28
30,"USC00363028",1970-01-30,0.5,2,39,19
31,"USC00363028",1970-01-31,0,2,43,17
32,"USC00363028",1970-02-01,0,0,41,21
33,"USC00363028",1970-02-02,0,0,49,33
34,"USC00363028",1970-02-03,1,1,45,16
35,"USC00363028",1970-02-04,4,5,17,-3
36,"USC00363028",1970-02-05,1,6,28,-3
37,"USC00363028",1970-02-06,0,5,35,25
38,"USC00363028",1970-02-07,0,2,31,15
39,"USC00363028",1970-02-08,0,0,45,15
40,"USC00363028",1970-02-09,0,0,37,31
41,"USC00363028",1970-02-10,1,1,39,33
42,"USC00363028",1970-02-11,2,3,34,22
43,"USC00363028",1970-02-12,0.5,4,29,11
44,"USC00363028",1970-02-13,2,6,25,10
45,"USC00363028",1970-02-14,0,5,19,-4
46,"USC00363028",1970-02-15,0,5,23,-2
47,"USC00363028",1970-02-16,0,5,31,7
48,"USC00363028",1970-02-17,0,4,30,7
49,"USC00363028",1970-02-18,0,3,45,9
50,"USC00363028",1970-02-19,0,3,51,24
51,"USC00363028",1970-02-20,0,2,27,14
52,"USC00363028",1970-02-21,0,0,22,13
53,"USC00363028",1970-02-22,0,1,35,15
54,"USC00363028",1970-02-23,0,0,54,22
55,"USC00363028",1970-02-24,0,0,40,17
56,"USC00363028",1970-02-25,0,0,49,17
57,"USC00363028",1970-02-26,0,0,34,1
58,"USC00363028",1970-02-27,2,2,29,1
59,"USC00363028",1970-02-28,0,0,37,17
60,"USC00363028",1970-03-01,0,0,33,11
61,"USC00363028",1970-03-02,0,0,48,15
62,"USC00363028",1970-03-03,0,0,48,34
63,"USC00363028",1970-03-04,0,0,40,36
64,"USC00363028",1970-03-05,0,0,47,33
65,"USC00363028",1970-03-06,0,0,37,24
66,"USC00363028",1970-03-07,0,0,44,25
67,"USC00363028",1970-03-08,0,0,42,14
68,"USC00363028",1970-03-09,0,0,30,14
69,"USC00363028",1970-03-10,0,0,35,15
70,"USC00363028",1970-03-11,0,0,36,14
71,"USC00363028",1970-03-12,0,0,39,18
72,"USC00363028",1970-03-13,2,2,35,23
73,"USC00363028",1970-03-14,0,0,34,20
