"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00362013",1970-01-01,0,14,NA,NA
2,"USC00362013",1970-01-02,0,12,NA,NA
3,"USC00362013",1970-01-03,0,12,NA,NA
4,"USC00362013",1970-01-04,1,13,NA,NA
5,"USC00362013",1970-01-05,0,13,NA,NA
6,"USC00362013",1970-01-06,0,13,NA,NA
7,"USC00362013",1970-01-07,2,14,NA,NA
8,"USC00362013",1970-01-08,1,14,NA,NA
9,"USC00362013",1970-01-09,0,14,NA,NA
10,"USC00362013",1970-01-10,0,14,NA,NA
11,"USC00362013",1970-01-11,0,14,NA,NA
12,"USC00362013",1970-01-12,1,14,NA,NA
13,"USC00362013",1970-01-13,0,14,NA,NA
14,"USC00362013",1970-01-14,0,13,NA,NA
15,"USC00362013",1970-01-15,0,13,NA,NA
16,"USC00362013",1970-01-16,0,12,NA,NA
17,"USC00362013",1970-01-17,0,12,NA,NA
18,"USC00362013",1970-01-18,0,11,NA,NA
19,"USC00362013",1970-01-19,0,11,NA,NA
20,"USC00362013",1970-01-20,0,11,NA,NA
21,"USC00362013",1970-01-21,1.5,13,NA,NA
22,"USC00362013",1970-01-22,0,13,NA,NA
23,"USC00362013",1970-01-23,0,12,NA,NA
24,"USC00362013",1970-01-24,1,13,NA,NA
25,"USC00362013",1970-01-25,0,13,NA,NA
26,"USC00362013",1970-01-26,0,12,NA,NA
27,"USC00362013",1970-01-27,0,11,NA,NA
28,"USC00362013",1970-01-28,0.5,10,NA,NA
29,"USC00362013",1970-01-29,0,9,NA,NA
30,"USC00362013",1970-01-30,0,6,NA,NA
31,"USC00362013",1970-01-31,0,6,NA,NA
32,"USC00362013",1970-02-01,0,5,NA,NA
33,"USC00362013",1970-02-02,0,4,NA,NA
34,"USC00362013",1970-02-03,0,0,NA,NA
35,"USC00362013",1970-02-04,2.5,3,NA,NA
36,"USC00362013",1970-02-05,0,2,NA,NA
37,"USC00362013",1970-02-06,0.5,3,NA,NA
38,"USC00362013",1970-02-07,0,2,NA,NA
39,"USC00362013",1970-02-08,0.5,2,NA,NA
40,"USC00362013",1970-02-09,0.5,3,NA,NA
