"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USW00013739",1970-01-01,0,0,30,23
2,"USW00013739",1970-01-02,0,0,34,18
3,"USW00013739",1970-01-03,0.4,0,34,24
4,"USW00013739",1970-01-04,0,0,28,19
5,"USW00013739",1970-01-05,0,0,35,16
6,"USW00013739",1970-01-06,2.5,0,36,27
7,"USW00013739",1970-01-07,2.4,4,30,21
8,"USW00013739",1970-01-08,0,5,23,2
9,"USW00013739",1970-01-09,0,5,9,1
10,"USW00013739",1970-01-10,0,5,25,5
11,"USW00013739",1970-01-11,0.1,4,26,14
12,"USW00013739",1970-01-12,0.7,4,29,20
13,"USW00013739",1970-01-13,0,4,30,17
14,"USW00013739",1970-01-14,0,2,25,13
15,"USW00013739",1970-01-15,0,2,28,12
16,"USW00013739",1970-01-16,0,2,34,14
17,"USW00013739",1970-01-17,0,1,43,26
18,"USW00013739",1970-01-18,0,0,41,24
19,"USW00013739",1970-01-19,0,0,24,15
20,"USW00013739",1970-01-20,1.1,0,22,14
21,"USW00013739",1970-01-21,0,1,17,9
22,"USW00013739",1970-01-22,0,1,19,4
23,"USW00013739",1970-01-23,0,0,28,11
24,"USW00013739",1970-01-24,0,0,25,16
25,"USW00013739",1970-01-25,0,0,36,24
26,"USW00013739",1970-01-26,0,0,48,30
27,"USW00013739",1970-01-27,0.3,0,35,28
28,"USW00013739",1970-01-28,0,0,43,24
29,"USW00013739",1970-01-29,0,0,51,37
30,"USW00013739",1970-01-30,0,0,44,24
31,"USW00013739",1970-01-31,0,0,37,18
32,"USW00013739",1970-02-01,0,0,51,31
33,"USW00013739",1970-02-02,0,0,54,33
34,"USW00013739",1970-02-03,0.1,0,54,20
35,"USW00013739",1970-02-04,0,0,20,11
36,"USW00013739",1970-02-05,0,0,34,17
37,"USW00013739",1970-02-06,0,0,39,28
38,"USW00013739",1970-02-07,0,0,43,28
39,"USW00013739",1970-02-08,0,0,39,26
40,"USW00013739",1970-02-09,0,0,41,34
41,"USW00013739",1970-02-10,0,0,49,37
42,"USW00013739",1970-02-11,0,0,41,34
43,"USW00013739",1970-02-12,0,0,35,27
44,"USW00013739",1970-02-13,0,0,33,22
45,"USW00013739",1970-02-14,1.9,0,25,19
46,"USW00013739",1970-02-15,0.7,3,35,25
47,"USW00013739",1970-02-16,0,1,34,29
48,"USW00013739",1970-02-17,0,1,39,29
49,"USW00013739",1970-02-18,0,0,45,27
50,"USW00013739",1970-02-19,0,0,49,29
51,"USW00013739",1970-02-20,0,0,33,23
52,"USW00013739",1970-02-21,0,0,34,18
53,"USW00013739",1970-02-22,0,0,52,28
54,"USW00013739",1970-02-23,0,0,46,28
55,"USW00013739",1970-02-24,0,0,52,28
