"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00361139",1970-01-01,0,4,38,23
2,"USC00361139",1970-01-02,0,4,29,23
3,"USC00361139",1970-01-03,0,4,32,24
4,"USC00361139",1970-01-04,0,4,28,5
5,"USC00361139",1970-01-05,0,4,23,7
6,"USC00361139",1970-01-06,0,3,35,7
7,"USC00361139",1970-01-07,1,4,25,15
8,"USC00361139",1970-01-08,0,4,19,-4
9,"USC00361139",1970-01-09,0,4,5,-5
10,"USC00361139",1970-01-10,1,5,10,-5
11,"USC00361139",1970-01-11,0,3,20,2
12,"USC00361139",1970-01-12,2,5,25,8
13,"USC00361139",1970-01-13,0,5,28,17
14,"USC00361139",1970-01-14,1,6,26,14
15,"USC00361139",1970-01-15,0,5,22,-9
16,"USC00361139",1970-01-16,0,5,30,-5
17,"USC00361139",1970-01-17,0,4,48,2
18,"USC00361139",1970-01-18,0,4,40,9
19,"USC00361139",1970-01-19,0,2,35,2
20,"USC00361139",1970-01-20,0,2,20,1
21,"USC00361139",1970-01-21,1,3,18,-1
22,"USC00361139",1970-01-22,0,3,11,-11
23,"USC00361139",1970-01-23,0,3,18,-10
24,"USC00361139",1970-01-24,0,3,23,-10
25,"USC00361139",1970-01-25,0,3,29,-8
26,"USC00361139",1970-01-26,0,1,47,24
27,"USC00361139",1970-01-27,0,0,36,30
28,"USC00361139",1970-01-28,0,0,36,24
29,"USC00361139",1970-01-29,0,0,53,30
30,"USC00361139",1970-01-30,0,0,46,21
31,"USC00361139",1970-01-31,0,0,40,20
32,"USC00361139",1970-02-01,0,0,44,21
33,"USC00361139",1970-02-02,0,0,50,32
34,"USC00361139",1970-02-03,1,1,49,19
35,"USC00361139",1970-02-04,3,4,19,-3
36,"USC00361139",1970-02-05,1,5,26,-3
37,"USC00361139",1970-02-06,0,2,38,26
38,"USC00361139",1970-02-07,0,0,50,12
39,"USC00361139",1970-02-08,1,1,42,12
40,"USC00361139",1970-02-09,0,0,38,33
41,"USC00361139",1970-02-10,0,0,41,33
42,"USC00361139",1970-02-11,1,1,35,27
43,"USC00361139",1970-02-12,1,2,32,14
44,"USC00361139",1970-02-13,2,4,27,13
45,"USC00361139",1970-02-14,0,2,20,-5
46,"USC00361139",1970-02-15,1.5,3,28,2
47,"USC00361139",1970-02-16,0,2,32,6
48,"USC00361139",1970-02-17,0,2,32,8
49,"USC00361139",1970-02-18,0,0,44,8
50,"USC00361139",1970-02-19,0,0,55,26
51,"USC00361139",1970-02-20,0,0,29,16
52,"USC00361139",1970-02-21,0,0,35,15
53,"USC00361139",1970-02-22,0,0,38,16
54,"USC00361139",1970-02-23,0,0,58,25
55,"USC00361139",1970-02-24,0,0,38,19
56,"USC00361139",1970-02-25,0,0,52,21
57,"USC00361139",1970-02-26,0,0,35,3
58,"USC00361139",1970-02-27,1,1,31,4
59,"USC00361139",1970-02-28,0,0,45,21
60,"USC00361139",1970-03-01,0,0,40,15
61,"USC00361139",1970-03-02,0,0,55,29
62,"USC00361139",1970-03-03,0,0,52,38
63,"USC00361139",1970-03-04,0,0,46,37
64,"USC00361139",1970-03-05,0,0,52,34
65,"USC00361139",1970-03-06,0,0,40,22
66,"USC00361139",1970-03-07,0,0,46,20
67,"USC00361139",1970-03-08,0,0,41,0
68,"USC00361139",1970-03-09,0,0,33,18
69,"USC00361139",1970-03-10,0,0,38,16
70,"USC00361139",1970-03-11,0,0,36,18
71,"USC00361139",1970-03-12,0,0,41,19
72,"USC00361139",1970-03-13,3,3,31,26
73,"USC00361139",1970-03-14,0,0,36,20
74,"USC00361139",1970-03-15,1,1,44,14
75,"USC00361139",1970-03-16,0,0,30,10
76,"USC00361139",1970-03-17,0,0,29,9
77,"USC00361139",1970-03-18,2,2,38,11
78,"USC00361139",1970-03-19,0,0,41,32
79,"USC00361139",1970-03-20,0,0,44,30
80,"USC00361139",1970-03-21,0,0,52,34
81,"USC00361139",1970-03-22,0,0,42,30
82,"USC00361139",1970-03-23,0,0,37,32
83,"USC00361139",1970-03-24,0,0,37,33
84,"USC00361139",1970-03-25,0,0,39,29
85,"USC00361139",1970-03-26,0,0,49,30
86,"USC00361139",1970-03-27,0,0,61,31
87,"USC00361139",1970-03-28,0,0,57,27
88,"USC00361139",1970-03-29,0,0,41,8
89,"USC00361139",1970-03-30,1,0,48,14
90,"USC00361139",1970-03-31,0,0,45,20
91,"USC00361139",1970-04-01,0,0,52,28
92,"USC00361139",1970-04-02,0,0,52,33
93,"USC00361139",1970-04-03,0,0,63,24
94,"USC00361139",1970-04-04,0,0,53,27
95,"USC00361139",1970-04-05,0,0,43,21
96,"USC00361139",1970-04-06,0,0,50,23
97,"USC00361139",1970-04-07,0,0,52,27
98,"USC00361139",1970-04-08,0,0,45,25
99,"USC00361139",1970-04-09,0,0,68,28
100,"USC00361139",1970-04-10,0,0,64,28
101,"USC00361139",1970-04-11,0,0,48,22
102,"USC00361139",1970-04-12,0,0,54,26
103,"USC00361139",1970-04-13,0,0,62,30
104,"USC00361139",1970-04-14,0,0,62,40
105,"USC00361139",1970-04-15,0,0,46,31
106,"USC00361139",1970-04-16,0,0,67,30
107,"USC00361139",1970-04-17,0,0,69,34
108,"USC00361139",1970-04-18,0,0,76,30
109,"USC00361139",1970-04-19,0,0,60,32
110,"USC00361139",1970-04-20,0,0,55,39
111,"USC00361139",1970-04-21,0,0,68,48
112,"USC00361139",1970-04-22,0,0,62,36
113,"USC00361139",1970-04-23,0,0,68,42
114,"USC00361139",1970-04-24,0,0,72,55
115,"USC00361139",1970-04-25,0,0,70,35
116,"USC00361139",1970-04-26,0,0,71,39
117,"USC00361139",1970-04-27,0,0,77,41
118,"USC00361139",1970-04-28,0,0,80,43
119,"USC00361139",1970-04-29,0,0,78,48
120,"USC00361139",1970-04-30,0,0,82,54
121,"USC00361139",1970-05-01,0,0,89,58
122,"USC00361139",1970-05-02,0,0,89,56
123,"USC00361139",1970-05-03,0,0,68,42
124,"USC00361139",1970-05-04,0,0,59,33
125,"USC00361139",1970-05-05,0,0,72,34
126,"USC00361139",1970-05-06,0,0,72,35
127,"USC00361139",1970-05-07,0,0,49,23
128,"USC00361139",1970-05-08,0,0,62,24
129,"USC00361139",1970-05-09,0,0,83,44
130,"USC00361139",1970-05-10,0,0,87,50
131,"USC00361139",1970-05-11,0,0,81,51
132,"USC00361139",1970-05-12,0,0,80,52
133,"USC00361139",1970-05-13,0,0,80,55
134,"USC00361139",1970-05-14,0,0,73,56
135,"USC00361139",1970-05-15,0,0,72,55
136,"USC00361139",1970-05-16,0,0,85,58
137,"USC00361139",1970-05-17,0,0,75,41
138,"USC00361139",1970-05-18,0,0,69,34
139,"USC00361139",1970-05-19,0,0,69,35
140,"USC00361139",1970-05-20,0,0,80,42
141,"USC00361139",1970-05-21,0,0,82,47
142,"USC00361139",1970-05-22,0,0,86,49
143,"USC00361139",1970-05-23,0,0,88,56
144,"USC00361139",1970-05-24,0,0,85,58
145,"USC00361139",1970-05-25,0,0,80,57
146,"USC00361139",1970-05-26,0,0,86,59
147,"USC00361139",1970-05-27,0,0,75,42
148,"USC00361139",1970-05-28,0,0,60,38
149,"USC00361139",1970-05-29,0,0,75,40
150,"USC00361139",1970-05-30,0,0,81,46
151,"USC00361139",1970-05-31,0,0,81,52
152,"USC00361139",1970-06-01,0,0,87,56
153,"USC00361139",1970-06-02,0,0,83,58
154,"USC00361139",1970-06-03,0,0,87,59
155,"USC00361139",1970-06-04,0,0,76,56
156,"USC00361139",1970-06-05,0,0,70,58
157,"USC00361139",1970-06-06,0,0,80,55
158,"USC00361139",1970-06-07,0,0,76,39
159,"USC00361139",1970-06-08,0,0,71,50
160,"USC00361139",1970-06-09,0,0,87,52
161,"USC00361139",1970-06-10,0,0,87,51
162,"USC00361139",1970-06-11,0,0,88,53
163,"USC00361139",1970-06-12,0,0,88,60
164,"USC00361139",1970-06-13,0,0,87,58
165,"USC00361139",1970-06-14,0,0,80,49
