"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00369408",1970-01-01,0,19,25,4
2,"USC00369408",1970-01-02,0,19,18,2
3,"USC00369408",1970-01-03,0,19,27,5
4,"USC00369408",1970-01-04,0.1,18,27,8
5,"USC00369408",1970-01-05,0,17,18,5
6,"USC00369408",1970-01-06,0,16,29,12
7,"USC00369408",1970-01-07,0.1,16,24,11
8,"USC00369408",1970-01-08,0,16,20,-8
9,"USC00369408",1970-01-09,0,16,11,-12
10,"USC00369408",1970-01-10,0,16,12,-12
11,"USC00369408",1970-01-11,0,16,20,-12
12,"USC00369408",1970-01-12,2,18,19,12
13,"USC00369408",1970-01-13,0.5,18,24,13
14,"USC00369408",1970-01-14,0,18,21,7
15,"USC00369408",1970-01-15,0,18,15,-5
16,"USC00369408",1970-01-16,0,17,20,-8
17,"USC00369408",1970-01-17,0,15,38,9
18,"USC00369408",1970-01-18,0,13,38,23
19,"USC00369408",1970-01-19,0,13,23,-4
20,"USC00369408",1970-01-20,0,13,13,-5
21,"USC00369408",1970-01-21,0,14,8,-3
22,"USC00369408",1970-01-22,0,14,4,-6
23,"USC00369408",1970-01-23,0,14,14,-6
24,"USC00369408",1970-01-24,0,14,18,-2
25,"USC00369408",1970-01-25,0,13,19,-2
26,"USC00369408",1970-01-26,0,11,37,-2
27,"USC00369408",1970-01-27,0,9,27,20
28,"USC00369408",1970-01-28,0.5,8,30,23
29,"USC00369408",1970-01-29,0,7,40,27
30,"USC00369408",1970-01-30,0,5,45,19
31,"USC00369408",1970-01-31,0,5,21,6
32,"USC00369408",1970-02-01,0,4,35,10
33,"USC00369408",1970-02-02,0.1,3,44,30
34,"USC00369408",1970-02-03,1.1,2,45,33
35,"USC00369408",1970-02-04,4,6,35,-7
36,"USC00369408",1970-02-05,0,6,18,-7
37,"USC00369408",1970-02-06,0,6,24,12
38,"USC00369408",1970-02-07,0,6,35,11
39,"USC00369408",1970-02-08,0,5,40,9
40,"USC00369408",1970-02-09,0,5,30,25
41,"USC00369408",1970-02-10,7,12,33,28
42,"USC00369408",1970-02-11,3,11,35,28
43,"USC00369408",1970-02-12,0.1,11,30,10
44,"USC00369408",1970-02-13,0,11,23,9
45,"USC00369408",1970-02-14,0,11,15,-7
46,"USC00369408",1970-02-15,0.5,11,17,-6
47,"USC00369408",1970-02-16,2,13,25,11
48,"USC00369408",1970-02-17,0,13,25,9
49,"USC00369408",1970-02-18,0,12,38,15
50,"USC00369408",1970-02-19,0,10,45,25
51,"USC00369408",1970-02-20,0,10,34,9
52,"USC00369408",1970-02-21,0,10,19,4
53,"USC00369408",1970-02-22,0,10,27,8
54,"USC00369408",1970-02-23,0,8,47,10
55,"USC00369408",1970-02-24,0,8,26,12
56,"USC00369408",1970-02-25,0,7,42,22
57,"USC00369408",1970-02-26,1,8,36,-9
58,"USC00369408",1970-02-27,0,8,20,-7
59,"USC00369408",1970-02-28,1.5,9,29,11
60,"USC00369408",1970-03-01,0,9,27,7
