"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00368873",1970-01-01,0,8,35,12
2,"USC00368873",1970-01-02,0.5,9,28,12
3,"USC00368873",1970-01-03,0,9,28,19
4,"USC00368873",1970-01-04,2,10,24,5
5,"USC00368873",1970-01-05,0,10,22,5
6,"USC00368873",1970-01-06,0,9,28,15
7,"USC00368873",1970-01-07,1,9,28,10
8,"USC00368873",1970-01-08,0,8,20,-7
9,"USC00368873",1970-01-09,0.5,13,6,-10
10,"USC00368873",1970-01-10,0.5,9,10,-10
11,"USC00368873",1970-01-11,0,9,18,5
12,"USC00368873",1970-01-12,2,11,21,5
13,"USC00368873",1970-01-13,0.5,11,25,15
14,"USC00368873",1970-01-14,1,11,25,-5
15,"USC00368873",1970-01-15,0,11,18,-18
16,"USC00368873",1970-01-16,0,11,22,-18
17,"USC00368873",1970-01-17,0,9,42,-7
18,"USC00368873",1970-01-18,0,8,38,20
19,"USC00368873",1970-01-19,0,8,25,-7
20,"USC00368873",1970-01-20,0.5,9,15,-10
21,"USC00368873",1970-01-21,1.5,10,14,-10
22,"USC00368873",1970-01-22,0,10,9,-17
23,"USC00368873",1970-01-23,0,10,15,-16
24,"USC00368873",1970-01-24,1,10,21,-16
25,"USC00368873",1970-01-25,0,10,27,-15
26,"USC00368873",1970-01-26,0,6,45,21
27,"USC00368873",1970-01-27,0,6,33,21
28,"USC00368873",1970-01-28,1,6,35,20
29,"USC00368873",1970-01-29,0,4,53,23
30,"USC00368873",1970-01-30,0.5,4,42,15
31,"USC00368873",1970-01-31,0,4,23,12
32,"USC00368873",1970-02-01,0,4,38,15
33,"USC00368873",1970-02-02,0,3,47,27
34,"USC00368873",1970-02-03,1,3,44,13
35,"USC00368873",1970-02-04,4,7,13,-11
36,"USC00368873",1970-02-05,1.5,8,25,-10
37,"USC00368873",1970-02-06,0,8,34,20
38,"USC00368873",1970-02-07,0,7,37,4
39,"USC00368873",1970-02-08,0.5,6,42,3
