"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00364836",1970-11-01,0,0,49,48
2,"USC00364836",1970-11-02,0,0,53,44
3,"USC00364836",1970-11-03,0,0,53,44
4,"USC00364836",1970-11-04,0,0,45,31
5,"USC00364836",1970-11-05,0,0,39,32
6,"USC00364836",1970-11-06,0,0,46,32
7,"USC00364836",1970-11-07,0,0,48,34
8,"USC00364836",1970-11-08,0,0,54,35
9,"USC00364836",1970-11-09,0,0,55,38
10,"USC00364836",1970-11-10,0,0,50,38
11,"USC00364836",1970-11-11,0,0,49,45
12,"USC00364836",1970-11-12,0,0,52,48
13,"USC00364836",1970-11-13,0,0,55,45
14,"USC00364836",1970-11-14,0,0,46,39
15,"USC00364836",1970-11-15,0,0,45,37
16,"USC00364836",1970-11-16,0,0,38,23
17,"USC00364836",1970-11-17,0,0,26,21
18,"USC00364836",1970-11-18,0,0,34,23
19,"USC00364836",1970-11-19,0,0,36,27
20,"USC00364836",1970-11-20,0,0,50,33
21,"USC00364836",1970-11-21,0,0,49,29
22,"USC00364836",1970-11-22,0,0,46,30
23,"USC00364836",1970-11-23,0,0,57,18
24,"USC00364836",1970-11-24,0.5,0,19,6
25,"USC00364836",1970-11-25,0.5,0,15,6
26,"USC00364836",1970-11-26,0,0,37,6
27,"USC00364836",1970-11-27,0,0,NA,NA
28,"USC00364836",1970-11-28,0,0,52,48
29,"USC00364836",1970-11-29,0,0,52,45
30,"USC00364836",1970-11-30,0,0,54,39
31,"USC00364836",1970-12-01,0,0,42,33
32,"USC00364836",1970-12-02,0,0,56,34
33,"USC00364836",1970-12-03,0,0,53,38
34,"USC00364836",1970-12-04,0,0,57,38
35,"USC00364836",1970-12-05,1.5,2,39,22
36,"USC00364836",1970-12-06,1,2,35,11
37,"USC00364836",1970-12-07,2,3,17,11
38,"USC00364836",1970-12-08,3,5,20,10
39,"USC00364836",1970-12-09,0,3,42,17
40,"USC00364836",1970-12-10,0,0,44,32
41,"USC00364836",1970-12-11,0,0,36,28
42,"USC00364836",1970-12-12,0,0,45,30
43,"USC00364836",1970-12-13,0,0,45,30
44,"USC00364836",1970-12-14,2.7,3,32,23
45,"USC00364836",1970-12-15,0,2,31,16
46,"USC00364836",1970-12-16,0,2,30,15
47,"USC00364836",1970-12-17,1.5,4,35,23
48,"USC00364836",1970-12-18,0,3,36,22
49,"USC00364836",1970-12-19,0,2,45,26
50,"USC00364836",1970-12-20,0,0,47,27
51,"USC00364836",1970-12-21,0,0,30,20
52,"USC00364836",1970-12-22,4.5,5,31,25
53,"USC00364836",1970-12-23,0,2,44,29
54,"USC00364836",1970-12-24,0,1,46,15
55,"USC00364836",1970-12-25,0,1,20,14
56,"USC00364836",1970-12-26,0,0,NA,NA
57,"USC00364836",1970-12-27,7.5,8,32,5
58,"USC00364836",1970-12-28,1,9,20,11
59,"USC00364836",1970-12-29,0,9,15,10
60,"USC00364836",1970-12-30,0.6,9,21,12
61,"USC00364836",1970-12-31,0,8,19,10
62,"USC00364836",1971-02-01,0,17,4,-9
63,"USC00364836",1971-02-02,0,17,0,-11
64,"USC00364836",1971-02-03,0,15,10,-11
65,"USC00364836",1971-02-04,0,13,20,7
66,"USC00364836",1971-02-05,1,14,31,13
67,"USC00364836",1971-02-06,0,12,46,21
68,"USC00364836",1971-02-07,0,12,35,21
69,"USC00364836",1971-02-08,3,15,29,23
70,"USC00364836",1971-02-09,9,24,29,7
71,"USC00364836",1971-02-10,0,24,8,-3
72,"USC00364836",1971-02-11,0,22,18,-1
73,"USC00364836",1971-02-12,0,19,40,5
74,"USC00364836",1971-02-13,0,13,50,33
75,"USC00364836",1971-02-14,12,25,37,2
76,"USC00364836",1971-02-15,0,24,15,2
77,"USC00364836",1971-02-16,0,23,22,14
78,"USC00364836",1971-02-17,0,23,26,15
79,"USC00364836",1971-02-18,0,20,41,22
80,"USC00364836",1971-02-19,0,18,46,30
81,"USC00364836",1971-02-20,0,16,50,35
82,"USC00364836",1971-02-21,0,12,52,31
83,"USC00364836",1971-02-22,0,12,32,30
84,"USC00364836",1971-02-23,0,11,39,29
85,"USC00364836",1971-02-24,3,14,30,23
86,"USC00364836",1971-02-25,0,14,27,24
87,"USC00364836",1971-02-26,0,12,43,25
88,"USC00364836",1971-02-27,0,9,52,38
89,"USC00364836",1971-02-28,0,7,50,30
90,"USC00364836",1971-03-01,0,6,43,24
91,"USC00364836",1971-03-02,0,5,47,24
92,"USC00364836",1971-03-03,1,6,37,25
93,"USC00364836",1971-03-04,14,20,27,10
94,"USC00364836",1971-03-05,0,20,20,9
95,"USC00364836",1971-03-06,0,16,39,19
96,"USC00364836",1971-03-07,1,13,41,23
97,"USC00364836",1971-03-08,2,15,27,14
98,"USC00364836",1971-03-09,4,19,17,10
99,"USC00364836",1971-03-10,0,18,26,10
100,"USC00364836",1971-03-11,1.5,19,37,24
101,"USC00364836",1971-03-12,0,19,34,20
102,"USC00364836",1971-03-13,0,15,45,31
