"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USC00361485",1970-01-01,0,7,26,13
2,"USC00361485",1970-01-02,0.3,7,31,10
3,"USC00361485",1970-01-03,0.5,8,29,16
4,"USC00361485",1970-01-04,1.7,9,25,2
5,"USC00361485",1970-01-05,0.5,10,31,5
6,"USC00361485",1970-01-06,0,10,32,5
7,"USC00361485",1970-01-07,0,10,25,6
8,"USC00361485",1970-01-08,0,10,13,-10
9,"USC00361485",1970-01-09,0.3,11,5,-11
10,"USC00361485",1970-01-10,0,11,20,-5
11,"USC00361485",1970-01-11,0,11,23,2
12,"USC00361485",1970-01-12,3,12,25,13
13,"USC00361485",1970-01-13,0.5,12,26,12
14,"USC00361485",1970-01-14,1,12,22,-7
15,"USC00361485",1970-01-15,0,12,27,-18
16,"USC00361485",1970-01-16,0,11,41,-6
17,"USC00361485",1970-01-17,0,11,38,24
18,"USC00361485",1970-01-18,0,10,38,15
19,"USC00361485",1970-01-19,0,10,23,-9
20,"USC00361485",1970-01-20,0.3,10,16,-8
21,"USC00361485",1970-01-21,2,11,10,-10
22,"USC00361485",1970-01-22,0,10,14,-19
23,"USC00361485",1970-01-23,0,10,21,-9
24,"USC00361485",1970-01-24,1.8,11,20,-15
25,"USC00361485",1970-01-25,1.5,12,37,12
26,"USC00361485",1970-01-26,0,9,45,23
27,"USC00361485",1970-01-27,0,8,35,23
28,"USC00361485",1970-01-28,2,10,45,17
29,"USC00361485",1970-01-29,0,7,52,31
30,"USC00361485",1970-01-30,0,7,39,13
31,"USC00361485",1970-01-31,0,7,40,9
32,"USC00361485",1970-02-01,NA,7,48,19
33,"USC00361485",1970-02-02,NA,6,46,25
34,"USC00361485",1970-02-03,NA,0,45,6
35,"USC00361485",1970-02-04,NA,4,12,-13
36,"USC00361485",1970-02-05,NA,7,34,3
37,"USC00361485",1970-02-06,NA,6,38,24
38,"USC00361485",1970-02-07,NA,5,42,0
39,"USC00361485",1970-02-08,NA,4,36,23
40,"USC00361485",1970-02-09,NA,4,38,27
41,"USC00361485",1970-02-10,NA,4,37,26
42,"USC00361485",1970-02-11,NA,5,36,18
43,"USC00361485",1970-02-12,NA,5,27,9
44,"USC00361485",1970-02-13,NA,7,25,4
45,"USC00361485",1970-02-14,NA,5,20,-15
46,"USC00361485",1970-02-15,NA,6,32,11
47,"USC00361485",1970-02-16,NA,7,35,-5
48,"USC00361485",1970-02-17,NA,8,43,-7
49,"USC00361485",1970-02-18,NA,6,51,10
50,"USC00361485",1970-02-19,NA,5,44,15
51,"USC00361485",1970-02-20,NA,5,23,10
52,"USC00361485",1970-02-21,NA,5,27,0
53,"USC00361485",1970-02-22,NA,5,55,9
54,"USC00361485",1970-02-23,NA,4,39,6
55,"USC00361485",1970-02-24,NA,3,49,9
56,"USC00361485",1970-02-25,NA,3,44,1
57,"USC00361485",1970-02-26,NA,3,25,-7
58,"USC00361485",1970-02-27,NA,4,36,15
59,"USC00361485",1970-02-28,NA,3,33,6
60,"USC00361485",1970-03-01,NA,3,48,2
61,"USC00361485",1970-03-02,NA,3,46,27
62,"USC00361485",1970-03-03,NA,2,43,29
63,"USC00361485",1970-03-04,NA,2,44,29
64,"USC00361485",1970-03-05,NA,0,39,29
65,"USC00361485",1970-03-06,NA,0,43,29
66,"USC00361485",1970-03-07,NA,0,38,20
67,"USC00361485",1970-03-08,NA,0,32,9
68,"USC00361485",1970-03-09,NA,0,36,10
69,"USC00361485",1970-03-10,NA,0,36,8
70,"USC00361485",1970-03-11,NA,0,39,8
71,"USC00361485",1970-03-12,NA,0,31,18
72,"USC00361485",1970-03-13,NA,2,36,18
73,"USC00361485",1970-03-14,NA,0,27,4
74,"USC00361485",1970-03-15,NA,2,30,12
75,"USC00361485",1970-03-16,NA,1,29,-4
76,"USC00361485",1970-03-17,NA,1,39,-3
77,"USC00361485",1970-03-18,NA,1,39,24
78,"USC00361485",1970-03-19,NA,0,36,27
79,"USC00361485",1970-03-20,NA,0,41,23
80,"USC00361485",1970-03-21,NA,0,40,27
81,"USC00361485",1970-03-22,NA,0,35,26
82,"USC00361485",1970-03-23,NA,2,35,26
83,"USC00361485",1970-03-24,NA,1,37,23
84,"USC00361485",1970-03-25,NA,1,46,24
85,"USC00361485",1970-03-26,NA,1,57,29
86,"USC00361485",1970-03-27,NA,0,44,25
87,"USC00361485",1970-03-28,NA,0,51,19
88,"USC00361485",1970-03-29,NA,0,35,18
89,"USC00361485",1970-03-30,NA,0,44,11
90,"USC00361485",1970-03-31,NA,0,53,24
91,"USC00361485",1970-04-01,NA,0,49,21
92,"USC00361485",1970-04-02,NA,0,55,27
93,"USC00361485",1970-04-03,NA,0,45,24
94,"USC00361485",1970-04-04,NA,0,45,23
95,"USC00361485",1970-04-05,NA,0,49,16
96,"USC00361485",1970-04-06,NA,0,51,20
97,"USC00361485",1970-04-07,NA,0,42,28
98,"USC00361485",1970-04-08,NA,0,66,20
99,"USC00361485",1970-04-09,NA,0,63,36
100,"USC00361485",1970-04-10,NA,0,56,20
101,"USC00361485",1970-04-11,NA,0,50,16
102,"USC00361485",1970-04-12,NA,0,62,18
103,"USC00361485",1970-04-13,NA,0,60,23
104,"USC00361485",1970-04-14,NA,0,51,34
105,"USC00361485",1970-04-15,NA,0,68,27
106,"USC00361485",1970-04-16,NA,0,71,35
107,"USC00361485",1970-04-17,NA,0,75,29
108,"USC00361485",1970-04-18,NA,0,66,24
109,"USC00361485",1970-04-19,NA,0,45,31
110,"USC00361485",1970-04-20,NA,0,67,34
111,"USC00361485",1970-04-21,NA,0,61,43
112,"USC00361485",1970-04-22,NA,0,69,33
113,"USC00361485",1970-04-23,NA,0,78,43
114,"USC00361485",1970-04-24,NA,0,71,49
115,"USC00361485",1970-04-25,NA,0,71,36
116,"USC00361485",1970-04-26,NA,0,79,40
117,"USC00361485",1970-04-27,NA,0,80,43
118,"USC00361485",1970-04-28,NA,0,79,48
119,"USC00361485",1970-04-29,NA,0,85,55
120,"USC00361485",1970-04-30,NA,0,84,54
121,"USC00361485",1970-05-01,0,0,88,60
122,"USC00361485",1970-05-02,0,0,79,45
123,"USC00361485",1970-05-03,0,0,60,36
124,"USC00361485",1970-05-04,0,0,70,36
125,"USC00361485",1970-05-05,0,0,70,36
126,"USC00361485",1970-05-06,0,0,50,25
127,"USC00361485",1970-05-07,0,0,61,23
128,"USC00361485",1970-05-08,0,0,80,43
129,"USC00361485",1970-05-09,0,0,85,48
130,"USC00361485",1970-05-10,0,0,82,50
131,"USC00361485",1970-05-11,0,0,80,50
132,"USC00361485",1970-05-12,0,0,78,58
133,"USC00361485",1970-05-13,0,0,75,55
134,"USC00361485",1970-05-14,0,0,76,58
135,"USC00361485",1970-05-15,0,0,80,57
136,"USC00361485",1970-05-16,0,0,74,55
137,"USC00361485",1970-05-17,0,0,57,46
138,"USC00361485",1970-05-18,0,0,68,28
139,"USC00361485",1970-05-19,0,0,81,33
140,"USC00361485",1970-05-20,0,0,82,45
141,"USC00361485",1970-05-21,0,0,87,47
142,"USC00361485",1970-05-22,0,0,87,55
143,"USC00361485",1970-05-23,0,0,82,59
144,"USC00361485",1970-05-24,0,0,76,60
145,"USC00361485",1970-05-25,0,0,85,57
146,"USC00361485",1970-05-26,0,0,75,53
147,"USC00361485",1970-05-27,0,0,69,41
148,"USC00361485",1970-05-28,0,0,74,37
149,"USC00361485",1970-05-29,0,0,78,45
150,"USC00361485",1970-05-30,0,0,79,50
151,"USC00361485",1970-05-31,0,0,83,51
152,"USC00361485",1970-06-01,0,0,84,58
153,"USC00361485",1970-06-02,0,0,86,58
154,"USC00361485",1970-06-03,0,0,76,61
155,"USC00361485",1970-06-04,0,0,71,53
156,"USC00361485",1970-06-05,0,0,77,58
157,"USC00361485",1970-06-06,0,0,71,49
158,"USC00361485",1970-06-07,0,0,71,42
159,"USC00361485",1970-06-08,0,0,87,48
160,"USC00361485",1970-06-09,0,0,88,55
161,"USC00361485",1970-06-10,0,0,88,50
162,"USC00361485",1970-06-11,0,0,87,54
163,"USC00361485",1970-06-12,0,0,82,60
164,"USC00361485",1970-06-13,0,0,80,55
165,"USC00361485",1970-06-14,0,0,83,47
166,"USC00361485",1970-06-15,0,0,72,57
167,"USC00361485",1970-06-16,0,0,81,60
168,"USC00361485",1970-06-17,0,0,85,63
169,"USC00361485",1970-06-18,0,0,83,59
170,"USC00361485",1970-06-19,0,0,71,53
171,"USC00361485",1970-06-20,0,0,69,41
172,"USC00361485",1970-06-21,0,0,68,46
173,"USC00361485",1970-06-22,0,0,73,50
174,"USC00361485",1970-06-23,0,0,80,46
175,"USC00361485",1970-06-24,0,0,82,51
176,"USC00361485",1970-06-25,0,0,79,56
177,"USC00361485",1970-06-26,0,0,78,54
178,"USC00361485",1970-06-27,0,0,69,46
179,"USC00361485",1970-06-28,0,0,75,43
180,"USC00361485",1970-06-29,0,0,79,48
181,"USC00361485",1970-06-30,0,0,87,55
182,"USC00361485",1970-07-01,0,0,89,57
183,"USC00361485",1970-07-02,0,0,89,69
184,"USC00361485",1970-07-03,0,0,85,60
185,"USC00361485",1970-07-04,0,0,82,66
186,"USC00361485",1970-07-05,0,0,74,52
187,"USC00361485",1970-07-06,0,0,78,49
188,"USC00361485",1970-07-07,0,0,82,42
189,"USC00361485",1970-07-08,0,0,83,51
190,"USC00361485",1970-07-09,0,0,76,58
191,"USC00361485",1970-07-10,0,0,75,60
192,"USC00361485",1970-07-11,0,0,78,56
193,"USC00361485",1970-07-12,0,0,81,57
194,"USC00361485",1970-07-13,0,0,85,51
195,"USC00361485",1970-07-14,0,0,83,62
196,"USC00361485",1970-07-15,0,0,87,66
197,"USC00361485",1970-07-16,0,0,72,61
198,"USC00361485",1970-07-17,0,0,83,49
199,"USC00361485",1970-07-18,0,0,85,52
200,"USC00361485",1970-07-19,0,0,86,59
201,"USC00361485",1970-07-20,0,0,78,59
202,"USC00361485",1970-07-21,0,0,72,48
203,"USC00361485",1970-07-22,0,0,77,45
204,"USC00361485",1970-07-23,0,0,74,51
205,"USC00361485",1970-07-24,0,0,87,63
206,"USC00361485",1970-07-25,0,0,84,61
207,"USC00361485",1970-07-26,0,0,83,60
208,"USC00361485",1970-07-27,0,0,85,64
209,"USC00361485",1970-07-28,0,0,89,63
210,"USC00361485",1970-07-29,0,0,87,66
211,"USC00361485",1970-07-30,0,0,86,63
212,"USC00361485",1970-07-31,0,0,84,69
213,"USC00361485",1970-08-01,0,0,84,66
214,"USC00361485",1970-08-02,0,0,82,62
215,"USC00361485",1970-08-03,0,0,77,55
216,"USC00361485",1970-08-04,0,0,75,47
217,"USC00361485",1970-08-05,0,0,78,52
218,"USC00361485",1970-08-06,0,0,80,49
219,"USC00361485",1970-08-07,0,0,84,57
220,"USC00361485",1970-08-08,0,0,85,56
221,"USC00361485",1970-08-09,0,0,83,61
222,"USC00361485",1970-08-10,0,0,83,60
223,"USC00361485",1970-08-11,0,0,86,53
224,"USC00361485",1970-08-12,0,0,85,51
225,"USC00361485",1970-08-13,0,0,87,60
226,"USC00361485",1970-08-14,0,0,88,59
227,"USC00361485",1970-08-15,0,0,89,59
228,"USC00361485",1970-08-16,0,0,85,59
229,"USC00361485",1970-08-17,0,0,82,62
230,"USC00361485",1970-08-18,0,0,83,50
231,"USC00361485",1970-08-19,0,0,87,56
232,"USC00361485",1970-08-20,0,0,82,62
233,"USC00361485",1970-08-21,0,0,77,54
234,"USC00361485",1970-08-22,0,0,80,45
235,"USC00361485",1970-08-23,0,0,77,62
236,"USC00361485",1970-08-24,0,0,74,54
237,"USC00361485",1970-08-25,0,0,80,48
238,"USC00361485",1970-08-26,0,0,80,54
239,"USC00361485",1970-08-27,0,0,85,52
240,"USC00361485",1970-08-28,0,0,86,58
241,"USC00361485",1970-08-29,0,0,83,62
242,"USC00361485",1970-08-30,0,0,85,59
243,"USC00361485",1970-08-31,0,0,81,56
244,"USC00361485",1970-09-01,0,0,72,39
245,"USC00361485",1970-09-02,0,0,75,42
246,"USC00361485",1970-09-03,0,0,83,49
247,"USC00361485",1970-09-04,0,0,87,65
248,"USC00361485",1970-09-05,0,0,78,56
249,"USC00361485",1970-09-06,0,0,76,47
250,"USC00361485",1970-09-07,0,0,80,50
251,"USC00361485",1970-09-08,0,0,84,51
252,"USC00361485",1970-09-09,0,0,82,64
253,"USC00361485",1970-09-10,0,0,82,57
254,"USC00361485",1970-09-11,0,0,74,46
255,"USC00361485",1970-09-12,0,0,77,43
256,"USC00361485",1970-09-13,0,0,81,51
257,"USC00361485",1970-09-14,0,0,75,59
258,"USC00361485",1970-09-15,0,0,85,64
259,"USC00361485",1970-09-16,0,0,78,59
260,"USC00361485",1970-09-17,0,0,83,49
261,"USC00361485",1970-09-18,0,0,74,63
262,"USC00361485",1970-09-19,0,0,73,50
263,"USC00361485",1970-09-20,0,0,79,43
264,"USC00361485",1970-09-21,0,0,82,64
265,"USC00361485",1970-09-22,0,0,88,62
266,"USC00361485",1970-09-23,0,0,87,61
267,"USC00361485",1970-09-24,0,0,87,61
268,"USC00361485",1970-09-25,0,0,80,63
269,"USC00361485",1970-09-26,0,0,78,60
270,"USC00361485",1970-09-27,0,0,78,46
271,"USC00361485",1970-09-28,0,0,57,42
272,"USC00361485",1970-09-29,0,0,56,36
273,"USC00361485",1970-09-30,0,0,64,42
274,"USC00361485",1970-10-01,0,0,59,41
275,"USC00361485",1970-10-02,0,0,72,37
276,"USC00361485",1970-10-03,0,0,64,41
277,"USC00361485",1970-10-04,0,0,57,38
278,"USC00361485",1970-10-05,0,0,67,33
279,"USC00361485",1970-10-06,0,0,70,46
280,"USC00361485",1970-10-07,0,0,78,45
281,"USC00361485",1970-10-08,0,0,78,48
282,"USC00361485",1970-10-09,0,0,76,51
283,"USC00361485",1970-10-10,0,0,66,57
284,"USC00361485",1970-10-11,0,0,68,51
285,"USC00361485",1970-10-12,0,0,71,55
286,"USC00361485",1970-10-13,0,0,70,60
287,"USC00361485",1970-10-14,0,0,72,55
288,"USC00361485",1970-10-15,0,0,63,48
289,"USC00361485",1970-10-16,0,0,51,35
290,"USC00361485",1970-10-17,0,0,51,27
291,"USC00361485",1970-10-18,0,0,61,31
292,"USC00361485",1970-10-19,0,0,64,34
293,"USC00361485",1970-10-20,0,0,61,35
294,"USC00361485",1970-10-21,0,0,56,47
295,"USC00361485",1970-10-22,0,0,61,52
296,"USC00361485",1970-10-23,0,0,61,49
297,"USC00361485",1970-10-24,0,0,63,37
298,"USC00361485",1970-10-25,0,0,65,41
299,"USC00361485",1970-10-26,0,0,65,41
300,"USC00361485",1970-10-27,0,0,60,38
301,"USC00361485",1970-10-28,0,0,52,35
302,"USC00361485",1970-10-29,0,0,55,44
303,"USC00361485",1970-10-30,0,0,51,44
304,"USC00361485",1970-10-31,0,0,56,48
305,"USC00361485",1970-11-01,0,0,60,48
